EU_sales,JP_sales,NA_sales,Publisher
418.7400000000002,455.4199999999995,816.8700000000001,Nintendo
371.2699999999965,14.039999999999958,595.069999999998,Electronic Arts
215.53000000000037,6.539999999999987,429.6999999999991,Activision
187.72000000000017,74.10000000000004,265.2199999999993,Sony Computer Entertainment
163.31999999999968,7.499999999999993,253.43000000000043,Ubisoft
118.14000000000017,5.829999999999992,220.4900000000005,Take-Two Interactive
94.73000000000019,5.009999999999998,208.7700000000004,THQ
68.61000000000006,3.2599999999999976,155.35000000000008,Microsoft Game Studios
27.120000000000065,10.709999999999997,110.0399999999999,Atari
82.00000000000013,57.030000000000015,109.39999999999996,Sega